date,code,open,high,low,close,volume,amount
2024/8/8,sh.000905,4737.0927,4791.6592,4701.7856,4755.8149,10430925300,95364149202
2024/8/9,sh.000905,4778.2568,4805.0992,4720.3104,4720.3104,10881958600,88057504682
2024/8/12,sh.000905,4716.9605,4737.1908,4696.0525,4714.1586,8910083200,76375856580
2024/8/13,sh.000905,4713.9598,4731.8353,4680.5879,4731.8353,8136517300,71101413452
2024/8/14,sh.000905,4729.8146,4730.2369,4667.0731,4667.0731,7458803000,68308163886
2024/8/15,sh.000905,4656.695,4746.4095,4647.7947,4698.375,9097329300,83712897622
2024/8/16,sh.000905,4703.6042,4708.0187,4662.1132,4670.3789,8737958000,81927269813
2024/8/19,sh.000905,4666.3308,4729.8742,4666.2577,4682.9628,8713686700,80742361426
2024/8/20,sh.000905,4684.2948,4686.3633,4590.3913,4602.0095,9184614600,81351685185
2024/8/21,sh.000905,4589.0885,4610.8666,4582.2653,4587.1218,8352691000,74809964819
2024/8/22,sh.000905,4589.4956,4595.0496,4526.2499,4533.3695,8585686800,78202476719
2024/8/23,sh.000905,4523.9907,4549.3026,4513.2038,4537.0872,7577836400,71369991696
2024/8/26,sh.000905,4542.8564,4558.5917,4523.7274,4544.3594,8711829600,84365247767
2024/8/27,sh.000905,4532.4861,4532.4861,4487.0915,4495.2856,8252920500,78742868645
2024/8/28,sh.000905,4486.4311,4527.7686,4482.0324,4500.0088,8268119900,74244549233
2024/8/29,sh.000905,4483.5534,4577.7919,4475.2228,4557.9006,10311556200,96829969885
2024/8/30,sh.000905,4557.5014,4704.3407,4548.3827,4639.1144,15159336100,1.45E+11
2024/9/2,sh.000905,4631.9003,4632.3107,4546.8393,4546.8832,12636851700,1.16E+11
2024/9/3,sh.000905,4543.2198,4612.2826,4543.2198,4596.4819,9858968600,92749159673
2024/9/4,sh.000905,4567.6858,4623.3782,4552.3037,4582.084,9243568500,88646018095
2024/9/5,sh.000905,4585.1677,4630.6388,4582.0535,4601.0911,8058372300,80148632781
2024/9/6,sh.000905,4609.3419,4613.3097,4535.3486,4537.4544,9014759600,80215749103
2024/9/9,sh.000905,4517.5658,4541.7935,4487.8427,4507.1866,9194460800,81907584835
2024/9/10,sh.000905,4509.3236,4528.6691,4432.9128,4507.7074,9852954200,87011759812
2024/9/11,sh.000905,4490.1867,4529.3452,4479.0306,4514.9158,8520684200,81707868060
2024/9/12,sh.000905,4518.9882,4568.7462,4496.5919,4496.5919,8665430400,80916511376
2024/9/13,sh.000905,4500.3949,4509.072,4450.9587,4450.9587,9253375700,85710614260
2024/9/18,sh.000905,4450.089,4474.722,4397.161,4462.8701,9098968300,79102523648
2024/9/19,sh.000905,4481.4635,4565.3899,4437.5363,4520.3939,11561186800,1.05E+11
2024/9/20,sh.000905,4514.9598,4515.8064,4471.9438,4498.3901,9431204400,89084435755
2024/9/23,sh.000905,4495.7805,4545.5411,4483.13,4494.6878,8993522700,85104838086
2024/9/24,sh.000905,4524.2214,4690.5736,4503.1245,4689.5964,17714470300,1.6E+11
2024/9/25,sh.000905,4743.6343,4847.2034,4724.4301,4731.4755,20459351900,1.82E+11
2024/9/26,sh.000905,4725.996,4938.1839,4719.3492,4938.1839,22993032300,1.96E+11
2024/9/27,sh.000905,5027.2644,5227.9577,5021.5148,5201.6656,23017750800,2.33E+11
2024/9/30,sh.000905,5449.7889,5757.9213,5387.338,5743.217,38870320000,4.19E+11
2024/10/8,sh.000905,6417.8142,6417.8142,5868.8525,6155.5817,49354642000,5.79E+11
2024/10/9,sh.000905,6013.7015,6088.0804,5704.4779,5735.641,43115641600,5.29E+11
2024/10/10,sh.000905,5768.6107,5875.9358,5597.4766,5690.8822,35348024500,3.91E+11
2024/10/11,sh.000905,5650.0488,5652.852,5408.8696,5470.8133,24438337300,2.67E+11
2024/10/14,sh.000905,5503.6461,5623.9685,5408.3917,5608.153,25060854100,2.79E+11
2024/10/15,sh.000905,5578.2611,5661.0749,5471.8807,5472.56,23899701900,2.77E+11
2024/10/16,sh.000905,5393.6657,5546.1764,5393.6657,5461.0877,20545092600,2.22E+11
2024/10/17,sh.000905,5499.7659,5541.0331,5417.881,5418.9883,20276868500,2.34E+11
2024/10/18,sh.000905,5416.0319,5774.1408,5404.2035,5640.0198,28711421900,3.52E+11
2024/10/21,sh.000905,5680.5648,5797.8808,5631.2316,5704.225,26688518600,3.6E+11
2024/10/22,sh.000905,5703.3196,5779.2983,5673.7901,5753.8497,23702362400,3.13E+11
2024/10/23,sh.000905,5745.1069,5853.4555,5727.7736,5776.383,27341264000,3.36E+11
2024/10/24,sh.000905,5747.5577,5759.8651,5694.7789,5726.7041,20769004600,2.57E+11
2024/10/25,sh.000905,5735.2853,5855.2647,5729.4384,5809.6879,23672570800,3E+11
2024/10/28,sh.000905,5816.3296,5883.7203,5787.4843,5883.7203,27065378700,3.13E+11
2024/10/29,sh.000905,5903.3065,5917.2149,5807.29,5812.5286,27537114300,3.32E+11
2024/10/30,sh.000905,5793.8326,5869.1113,5777.43,5837.9338,25202127500,3.16E+11
2024/10/31,sh.000905,5839.9766,5935.1827,5812.0324,5901.2904,31354920200,3.77E+11
2024/11/1,sh.000905,5893.3192,5934.2031,5795.0805,5831.8217,36984064100,4.29E+11
2024/11/4,sh.000905,5835.3918,5928.9085,5835.3918,5928.9085,28655229400,3.43E+11
2024/11/5,sh.000905,5925.8652,6119.2536,5910.8887,6111.9707,36634449200,4.41E+11
2024/11/6,sh.000905,6134.9236,6204.5331,6081.8065,6125.7868,41518773700,5.02E+11
2024/11/7,sh.000905,6061.7349,6240.7574,6049.587,6239.5598,41841332300,4.66E+11
2024/11/8,sh.000905,6306.7986,6333.6792,6206.2949,6222.445,38564834700,4.7E+11
2024/11/11,sh.000905,6211.0328,6330.8046,6199.0563,6330.6152,33409692100,4.53E+11
2024/11/12,sh.000905,6349.2295,6382.9784,6205.0988,6263.883,33285691900,4.53E+11
2024/11/13,sh.000905,6234.1577,6282.2777,6162.8979,6259.8412,26040067300,3.48E+11
2024/11/14,sh.000905,6240.6093,6240.6093,6068.6584,6078.3051,23974313800,3.17E+11
2024/11/15,sh.000905,6055.5354,6093.4226,5924.35,5924.4834,23622604200,3.1E+11
2024/11/18,sh.000905,5940.4862,5977.4919,5799.9082,5833.0358,28252722400,2.96E+11
2024/11/19,sh.000905,5836.6108,5936.9347,5776.2017,5936.6015,24140421500,2.62E+11
2024/11/20,sh.000905,5920.3229,6015.2339,5909.106,5992.3904,21734522400,2.61E+11
2024/11/21,sh.000905,5973.1547,6009.6285,5937.8052,5985.3128,20619894100,2.53E+11
2024/11/22,sh.000905,5969.0753,5983.3393,5750.2457,5750.2457,22506673700,2.68E+11
2024/11/25,sh.000905,5754.5473,5774.8166,5662.0946,5735.6493,18600506000,2.15E+11
2024/11/26,sh.000905,5727.3734,5773.3559,5688.5764,5690.4792,14756286500,1.7E+11
2024/11/27,sh.000905,5669.5549,5805.635,5603.9955,5804.9368,17531330200,2.05E+11
2024/11/28,sh.000905,5802.797,5826.4882,5749.2874,5757.5965,17218353700,2.04E+11
