date,breadth
2021/9/22,48.3
2021/9/23,58.92
2021/9/24,47.09
2021/9/27,29.86
2021/9/28,29.86
2021/9/29,19.04
2021/9/3,67.8
2021/9/30,21.64
2021/9/6,72.6
2021/9/7,76.6
2021/9/8,80.2
2021/9/9,78.2
2022/1/10,61.2
2022/1/11,54.8
2022/1/12,59.8
2022/1/13,51.8
2022/1/14,36
2022/1/17,44.2
2022/1/18,42
2022/1/19,43.4
2022/1/20,37.8
2022/1/21,30
2022/1/24,26.4
2022/1/25,11.2
2022/1/26,13.2
2022/1/27,6.6
2022/1/28,4.4
2022/1/4,68.6
2022/1/5,61.2
2022/1/6,60.2
2022/1/7,58
2022/10/10,9.4
2022/10/11,10.2
2022/10/12,20
2022/10/13,26.8
2022/10/14,47.4
2022/10/17,62.8
2022/10/18,64.4
2022/10/19,57.2
2022/10/20,56.6
2022/10/21,57.8
2022/10/24,45.2
2022/10/25,40
2022/10/26,56
2022/10/27,60.6
2022/10/28,32.4
2022/10/31,37.8
2022/11/1,57.6
2022/11/10,71.2
2022/11/11,80.2
2022/11/14,76
2022/11/15,86.2
2022/11/16,84.6
2022/11/17,82.8
2022/11/18,81.2
2022/11/2,60.6
2022/11/21,76.4
2022/11/22,69.2
2022/11/23,65.8
2022/11/24,63.4
2022/11/25,56.8
2022/11/28,46.6
2022/11/29,65.2
2022/11/3,60.4
2022/11/30,62.2
2022/11/4,73.2
2022/11/7,77.2
2022/11/8,74.6
2022/11/9,74.2
2022/12/1,65.2
2022/12/12,45
2022/12/13,46.6
2022/12/14,41
2022/12/15,36.8
2022/12/16,38.8
2022/12/19,17.8
2022/12/2,66.4
2022/12/20,11.8
2022/12/21,11
2022/12/22,9.6
2022/12/23,9.4
2022/12/26,11
2022/12/27,15.8
2022/12/28,16.2
2022/12/29,17.8
2022/12/30,22.4
2022/12/5,73.2
2022/12/6,70.8
2022/12/7,66
2022/12/8,57.4
2022/12/9,58.2
2022/2/10,41.2
2022/2/11,37.4
2022/2/14,29.8
2022/2/15,30
2022/2/16,39.2
2022/2/17,38.6
2022/2/18,48.2
2022/2/21,57.2
2022/2/22,48.2
2022/2/23,59.4
2022/2/24,36
2022/2/25,47.2
2022/2/28,52.4
2022/2/7,14.8
2022/2/8,26.8
2022/2/9,37.8
2022/3/1,53.8
2022/3/10,12.2
2022/3/11,15.6
2022/3/14,9.6
2022/3/15,3.2
2022/3/16,6.8
2022/3/17,8.8
2022/3/18,14.4
2022/3/2,56.4
