date,close,turnover
2021-06-02,5.764,0.8
2021-06-03,5.723,0.62
2021-06-04,5.756,0.78
2021-06-07,5.75,0.37
2021-06-08,5.708,0.63
2021-06-09,5.716,0.36
2021-06-10,5.75,0.56
2021-06-11,5.701,0.47
2021-06-15,5.642,0.6
2021-06-16,5.571,0.77
2021-06-17,5.582,0.48
2021-06-18,5.587,0.73
2021-06-21,5.58,0.62
2021-06-22,5.606,0.94
2021-06-23,5.637,0.81
2021-06-24,5.65,0.3
2021-06-25,5.731,0.86
2021-06-28,5.74,0.62
2021-06-29,5.686,0.4
2021-06-30,5.717,0.52
2021-07-01,5.715,0.78
2021-07-02,5.574,0.61
2021-07-05,5.581,0.36
2021-07-06,5.588,0.53
2021-07-07,5.641,0.49
2021-07-08,5.597,0.46
2021-07-09,5.573,0.59
2021-07-12,5.641,0.83
2021-07-13,5.657,0.48
2021-07-14,5.6,0.53
2021-07-15,5.668,0.49
2021-07-16,5.617,0.51
2021-07-19,5.639,0.46
2021-07-20,5.626,0.43
2021-07-21,5.665,0.8
2021-07-22,5.67,0.37
2021-07-23,5.618,0.37
2021-07-26,5.443,1.27
2021-07-27,5.27,1.12
2021-07-28,5.28,1.27
2021-07-29,5.367,0.89
2021-07-30,5.333,0.31
2021-08-02,5.454,0.52
2021-08-03,5.456,0.32
2021-08-04,5.5,0.35
2021-08-05,5.47,0.29
2021-08-06,5.454,0.16
2021-08-09,5.509,0.32
2021-08-10,5.566,0.45
2021-08-11,5.539,0.33
2021-08-12,5.507,0.19
2021-08-13,5.48,0.28
2021-08-16,5.477,0.26
2021-08-17,5.365,0.49
2021-08-18,5.418,0.53
2021-08-19,5.384,0.33
2021-08-20,5.294,0.58
2021-08-23,5.366,0.49
2021-08-24,5.418,0.44
2021-08-25,5.432,0.29
2021-08-26,5.347,0.27
2021-08-27,5.36,0.32
2021-08-30,5.342,0.3
2021-08-31,5.34,0.34
2021-09-01,5.41,0.54
2021-09-02,5.406,0.31
2021-09-03,5.379,0.48
2021-09-06,5.463,0.69
2021-09-07,5.526,0.64
2021-09-08,5.505,0.33
2021-09-09,5.503,0.25
